tree_node,pair_age,sp1,sp2,abaxial_stomatal_density_mm2,adaxial_stomatal_density_mm2,abaxial_stomatal_length_um,adaxial_stomatal_length_um
737,3.1922330003012576,Ageratina_pichinchensis,Ageratina_cylindrica,0.02482407234941464,0.09690939001038235,-0.04103832622430659,0.0991476142053016
738,1.8090730003012132,Stevia_origanoides,Stevia_salicifolia,0,0,0.014141182240180017,-0.037621635586103874
739,1.043023000301213,Argyroxiphium_grayanum,Wilkesia_gymnoxiphium,0.1277627701292987,0.6925675127268882,-0.1448770665504875,-0.15234811379139956
740,7.857438000301213,Florestina_pedata,Schkuhria_pinnata,-0.6283925947507054,-0.22187200883568892,0.21547191467202365,0.06232410737093641
743,3.1987610003012037,Tagetes_tenuifolia,Tagetes_micrantha,-0.2730023103912078,0.07918290737276923,-0.036740359032879866,-0.04176328331910861
744,9.663451000301157,Galinsoga_parviflora,Melampodium_longifolium,0.6154258407657665,-0.2430291485708782,-0.3072375815920394,0.030907355178446894
749,1.4613220003011307,Tithonia_tubiformis,Lagascea_rigida,0.43933609200803403,0.4771212547196624,-0.13944073445407357,-0.1846048539791567
750,5.956327000301213,Ambrosia_psilostachya,Parthenium_argentatum,-0.28910888366712495,-0.11639248178203188,-0.14059674138765432,-0.08729953879666508
756,5.015197000301157,Bidens_odorata,Bidens_bigelovii,0.0669461963009339,-0.057991501979895776,0.011388215302425841,0.2696724011206546
757,2.308418000301174,Cosmos_parviflorus,Cosmos_bipinnatus,0,0,0.05015274657015989,6.934288405346933e-5
759,2.0846550003012134,Helichrysum_plicatum,Pseudognaphalium_viscosum,0.37413709399941286,0.24215782085718462,-0.1061766140353333,-0.07958675491158895
761,5.866190000301174,Inula_vulgaris,Inula_oculus-christi,0.032530280908357856,-0.8100679003688271,-0.009995522663134082,0.010279917023527263
771,1.339117000301144,Conyza_coronopifolia,Conyza_bonariensis,-0.27621699893557095,-0.09689755279540302,0.003451149929464492,0.020618859650925137
773,1.78729700030118,Baccharis_sarothroides,Baccharis_salicifolia,-0.7707387518991882,-0.32020235948124554,0.13432082022466663,-0.08288660103651724
778,1.7901130003011563,Artemisia_scoparia,Artemisia_chamaemelifolia,0.011466523157878772,0.4803375479828531,-0.09588386015755801,-0.0712416966982401
780,0.2611734368950333,Artemisia_splendens,Artemisia_parviflora,-0.3708875136295773,-0.43996562250469196,0.09438678440806925,0.10869788167173988
783,3.352306000301212,Achillea_biebersteinii,Achillea_millefolium,0.030916840988367777,0.08505136568381833,0.033874552832506843,0.03377105608399522
786,2.2119040003012174,Tanacetum_chiliophyllum,Tanacetum_graminifolium,0.3159171310126889,0.19587418600651718,-0.1749671394775727,-0.17736409561104116
789,1.7211130003011563,Ligularia_sagitta,Ligularia_virgaurea,-0.15533603746506186,0.1739881339679168,0.21034944592139615,0.12715792632155676
790,5.5103920003011,Roldana_lobata,Barkleyanthus_salicifolius,-0.3010424558766349,-0.30102999566398103,0.02834098644537031,0.12225526439451584
798,5.951037000301157,Crepis_foetida,Crepis_sancta,0.06075479382568583,0.021265604873859978,-0.006754724413898794,-0.007739302115290281
799,9.43482300030115,Taraxacum_officinale,Taraxacum_mongolicum,0.22961425650561873,-0.1878802009865197,-0.0628599775483123,0.06121940467489018
800,5.549927000301184,Picris_echioides,Leontodon_asperrimus,0.4018198987246513,0.09197747917582433,-0.2400231081251607,-0.0015639207693567414
801,10.065603000301158,Sonchus_asper,Aposeris_foetida,-0.41380779661553113,0.26727467838142727,-0.03914855016697394,-0.03342375548694965
802,2.627489000301125,Hieracium_procerum,Hieracium_pilosella,-0.34827087557693526,-0.459335249156297,0.08265241624166197,0.07993705838173959
805,1.7666050003011564,Tragopogon_pterocarpus,Tragopogon_kemulariae,-0.03785799670583745,-0.09153429125149293,0.01679379462535846,0.029515752002688966
806,9.506688000301157,Scorzonera_laciniata,Koelpinia_linearis,0.19894524229625676,0.08716175705950269,0.0032447034423490617,-0.02630401436400187
811,2.4619620003011846,Centaurea_aziziana,Centaurea_montana,-0.060912359736537525,-1.323954201645419,0.1602992268230432,0.20020012265388853
813,0.9108190003011564,Centaurea_macrocephala,Centaurea_rhizantha,0.11950013812105942,0.4982275883980738,0.014062645398480456,-0.039792038752416437
814,5.983427000301213,Carthamus_lanatus,Crupina_crupinastrum,-0.44518283984473994,-0.3141200306312153,0.06223358299597703,0.03980236881521981
815,3.2795870003012055,Serratula_quinquefolia,Serratula_centauroides,0.021294264504141847,-1.71185400173474,0.006145016376363888,0.004274119065017734
821,0.7921990003012701,Saussurea_globosa,Saussurea_glanduligera,0.41119274101135406,0.1863104242373672,0.002714349347691103,-0.05200827539796471
824,1.8644990003011566,Cirsium_vulgare,Cirsium_echinus,0.04852828479568627,-0.16029468445263295,-0.024586004680867246,-0.15081522161551697
826,4.382118000301205,Carduus_thoermeri,Carduus_seminudus,0.4283653180728395,0.5782644886777448,-0.14612803567823796,-0.048940163107342505
827,1.547012000301213,Carduus_defloratus,Carduus_pycnocephalus,0.19822182298459756,0.12554594044216727,-0.07330437041781668,-0.04258744377116841
830,0.2800590003012133,Scaevola_kilaueae,Scaevola_chamissoniana,-0.18481482746053812,1.5007344553555737,0.03391337727714472,0.10712917818974232
832,0.31047600030121325,Scaevola_procera,Scaevola_gaudichaudiana,-0.01970423795464038,0.26735605088519065,0.06378059469394759,0.04844662907145625
833,0.28440200030121326,Scaevola_coriacea,Scaevola_gaudichaudii,0.2594868360056992,0.1555907697762957,-0.2922560713564759,-0.20925962230833584
