tree_node,pair_age,sp1,sp2,abaxial_stomatal_density_mm2,adaxial_stomatal_density_mm2,abaxial_stomatal_length_um,adaxial_stomatal_length_um,abaxial_stomatal_area_um2,adaxial_stomatal_area_um2,abaxial_gmax,adaxial_gmax,abaxial_fs,adaxial_fs,chromostome_number_2n,ploidy_level_x,dna_amount_2c_pg,pair
674,1.461322000300214,Tithonia_tubaeformis,Lagascea_rigida,0.43933609200803403,0.4771212547196624,-0.13944073445407357,-0.1846048539791567,-0.27888146890814713,-0.3692097079583134,0.2998953575539606,0.2925164007405058,0.1604546230998869,0.10791154676134895,NA,NA,NA,209
672,7.02205300030019,Helianthus_annuus,Ambrosia_psilostachya,0.06486459214973106,0.15291791958817313,0.019511369333687467,0.07081581542480264,0.039022738667374934,0.14163163084960528,0.08437596148341853,0.22373373501297567,0.103887330817106,0.2945495504377784,NA,NA,NA,97
680,5.015197000300191,Bidens_odorata,Bidens_bigelovii,0.0669461963009339,-0.057991501979895776,0.011388215302425841,0.2696724011206546,0.022776430604851683,0.5393448022413088,0.07833441160335991,0.211680899140759,0.08972262690578581,0.48135330026141365,NA,NA,NA,33
678,5.026324000300178,Bidens_pilosa,Coreopsis_basalis,-0.22068544392211864,-0.019730073929339564,-0.15011246677508105,-0.10734352000330594,-0.3002249335501621,-0.21468704000661187,-0.37079791069720014,-0.12707359393264556,-0.5209103774722812,-0.23441711393595144,NA,NA,NA,34
695,1.3391170003002344,Conyza_coronopifolia,Conyza_bonariensis,-0.27621699893557095,-0.09689755279540302,0.003451149929464492,0.020618859650925137,0.006902299858928984,0.04123771930185027,-0.27276584900610656,-0.07627869314447787,-0.2693146990766422,-0.055659833493552746,NA,NA,NA,62
693,2.1634650003002207,Conyza_canadensis,Erigeron_canadensis,-0.3228395957567418,-0.32884749312008976,0.19410939076083,0.009370750706411135,0.38821878152166045,0.01874150141282227,-0.12873020499591176,-0.3194767424136781,0.06537918576491819,-0.3101059917072668,NA,NA,NA,61
711,2.211904000300194,Tanacetum_graminifolium,Tanacetum_chiliophyllum,0.3159171310126889,0.19587418600651718,-0.1749671394775727,-0.17736409561104116,-0.34993427895514495,-0.35472819122208277,0.14094999153511642,0.01851009039547588,-0.03401714794245603,-0.15885400521556514,NA,NA,NA,202
709,3.1057290003001867,Tanacetum_parthenium,Anthemis_triumfettii,-0.09620837008523475,-0.6335901237361192,-0.018031483005515492,0.002314391205442412,-0.036062966011030984,0.004628782410884824,-0.1142398530907503,-0.6312757325306768,-0.13227133609626573,-0.6289613413252344,NA,NA,NA,203
746,0.7921990003002009,Saussurea_globosa,Saussurea_glanduligera,0.41119274101135406,0.1863104242373672,0.002714349347691103,-0.05200827539796471,0.005428698695381762,-0.10401655079592942,0.4139070903590452,0.13430214883940267,0.41662143970673626,0.08229387344143801,NA,NA,NA,173
744,1.0792450003002045,Saussurea_medusa,Saussurea_hieracioides,-0.09322432343109366,0.09342168516223515,0.037555006443382055,-0.03314633964749247,0.07511001288676411,-0.06629267929498495,-0.055669316987711354,0.06027534551474262,-0.018114310544329326,0.02712900586725031,NA,NA,NA,174
819,1.6496260003002021,Mentha_pulegium,Mentha_requienii,-0.4033350405587437,-0.023802914672624853,-0.016186761093275104,0.02511072058303121,-0.03237352218655065,0.05022144116606242,-0.419521801652019,0.0013078059104064121,-0.43570856274529435,0.026418526493437566,NA,NA,NA,127
817,5.067830000300205,Mentha_longifolia,Mentha_spicata,0.26715124329738016,0.10852449147266618,-0.22479195649268147,-0.27963185096275067,-0.44958391298536293,-0.5592637019255013,0.04235928680469875,-0.1711073594900845,-0.18243266968798277,-0.45073921045283516,NA,NA,NA,126
822,6.48316600030023,Thymus_kotschyanus,Thymus_praecox_subsp._polytrichus,0.19774152626600028,-0.0638180865016551,0.008600171761917519,-0.0272022828524614,0.017200343523835038,-0.0544045657049228,0.20634169802791796,-0.09102036935411642,0.21494186978983554,-0.11822265220657768,NA,NA,NA,207
820,7.296114000300236,Thymus_mongolicus,Origanum_vulgare,0.20945739490215276,0.9257996892427411,-0.2857447877423507,-0.22735784440113216,-0.5714895754847014,-0.4547156888022643,-0.07628739284019789,0.6984418448416091,-0.3620321805825486,0.4710840004404768,NA,NA,NA,208
826,1.799774000300232,Salvia_sclarea,Salvia_atropatana,0.07030955537601713,-0.05170261052840264,-0.044621655288423545,0.021943549477343005,-0.08924331057684709,0.04388709895468601,0.025687900087593696,-0.02975906105105939,-0.01893375520082996,-0.007815511573716405,NA,NA,NA,170
824,9.134691000300222,Salvia_viridis,Salvia_nemorosa,-0.16053827764485806,0.21484070810798217,0.01726357977919668,0.05812674429351827,0.034527159558393805,0.11625348858703655,-0.14327469786566094,0.2729674524015005,-0.12601111808646426,0.33109419669501894,NA,NA,-0.10689423391465736,171
851,11.562148000300212,Onosma_microcarpum,Onosma_dichroanthum,-0.22278202668096414,-0.18720106688090032,0.08324766979498266,0.004360821031128115,0.16649533958996532,0.00872164206225623,-0.13953435688598181,-0.1828402458497722,-0.056286687090999266,-0.17847942481864387,NA,NA,NA,134
849,24.223762000300212,Buglossoides_arvensis,Symphytum_asperum,0.13638336395666473,-0.3796729062936919,-3.23015620620426e-4,0.0381710191208009,-6.46031241240852e-4,0.07634203824160135,0.13606034833604447,-0.3415018871728911,0.1357373327154241,-0.3033308680520903,NA,NA,NA,40
