source_id,trait,mu,n,sd,source,se
Lotus nevadensis,adaxial_stomatal_length_um,22.4,25,2.598109069212318,arambarri_taxonomy_2005,NA
Lotus nevadensis,adaxial_stomatal_width_um,17,25,1.2711639651443312,arambarri_taxonomy_2005,NA
Lotus nutallianus,abaxial_stomatal_density_mm2,150.22275598200002,25,3.0869323495107732,arambarri_taxonomy_2005,NA
Lotus nutallianus,abaxial_stomatal_length_um,22.5,25,3.8318028316771255,arambarri_taxonomy_2005,NA
Lotus nutallianus,abaxial_stomatal_width_um,17.7,25,3.831412504548856,arambarri_taxonomy_2005,NA
Lotus nutallianus,adaxial_stomatal_density_mm2,158.342904954,25,2.07432064571753,arambarri_taxonomy_2005,NA
Lotus nutallianus,adaxial_stomatal_length_um,22.9,25,1.2730681168712543,arambarri_taxonomy_2005,NA
Lotus nutallianus,adaxial_stomatal_width_um,17.5,25,2.5825412057546453,arambarri_taxonomy_2005,NA
Lotus oblongifolius,abaxial_stomatal_density_mm2,186.763426356,25,8.297282584252237,arambarri_taxonomy_2005,NA
Lotus oblongifolius,abaxial_stomatal_length_um,21.2,25,2.538626433507628,arambarri_taxonomy_2005,NA
Lotus oblongifolius,abaxial_stomatal_width_um,20,25,0.04978707292483459,arambarri_taxonomy_2005,NA
Lotus oblongifolius,adaxial_stomatal_density_mm2,227.364171216,25,8.297282584252237,arambarri_taxonomy_2005,NA
Lotus oblongifolius,adaxial_stomatal_length_um,20.4,25,2.5522473560415055,arambarri_taxonomy_2005,NA
Lotus oblongifolius,adaxial_stomatal_width_um,19.6,25,1.8128383431442303,arambarri_taxonomy_2005,NA
Lotus procumbens,abaxial_stomatal_density_mm2,186.763426356,25,6.222961936125217,arambarri_taxonomy_2005,NA
Lotus procumbens,abaxial_stomatal_length_um,24,25,2.5423279240223327,arambarri_taxonomy_2005,NA
Lotus procumbens,abaxial_stomatal_width_um,20,25,2.5545352067774725,arambarri_taxonomy_2005,NA
Lotus procumbens,adaxial_stomatal_density_mm2,158.342904954,25,3.086932349511591,arambarri_taxonomy_2005,NA
Lotus procumbens,adaxial_stomatal_length_um,23.6,25,1.275761578366964,arambarri_taxonomy_2005,NA
Lotus procumbens,adaxial_stomatal_width_um,20,25,2.5545352067774725,arambarri_taxonomy_2005,NA
Lotus repens,abaxial_stomatal_density_mm2,73.081340748,25,1.9511660122843124,arambarri_taxonomy_2005,NA
Lotus repens,abaxial_stomatal_length_um,27.8,25,1.2747807924951282,arambarri_taxonomy_2005,NA
Lotus repens,abaxial_stomatal_width_um,25,25,1.4417218205132054,arambarri_taxonomy_2005,NA
Lotus repens,adaxial_stomatal_density_mm2,93.381713178,25,2.074320645717526,arambarri_taxonomy_2005,NA
Lotus repens,adaxial_stomatal_length_um,26.4,25,1.275761578366964,arambarri_taxonomy_2005,NA
Lotus repens,adaxial_stomatal_width_um,25,25,0.4805739447400842,arambarri_taxonomy_2005,NA
Lotus scorparius,abaxial_stomatal_density_mm2,170.523128412,25,6.222961936125217,arambarri_taxonomy_2005,NA
Lotus scorparius,abaxial_stomatal_length_um,22.8,25,1.2747807924951282,arambarri_taxonomy_2005,NA
Lotus scorparius,abaxial_stomatal_width_um,18.6,25,2.535677450967196,arambarri_taxonomy_2005,NA
Lotus scorparius,adaxial_stomatal_density_mm2,190.823500842,25,4.148641289695682,arambarri_taxonomy_2005,NA
Lotus scorparius,adaxial_stomatal_length_um,25,25,2.5545352067774725,arambarri_taxonomy_2005,NA
Lotus scorparius,adaxial_stomatal_width_um,19,25,2.5423279240223327,arambarri_taxonomy_2005,NA
Lotus stipularis,abaxial_stomatal_density_mm2,194.883575328,25,3.086932349511591,arambarri_taxonomy_2005,NA
Lotus stipularis,abaxial_stomatal_length_um,24.5,25,1.6942688155258123,arambarri_taxonomy_2005,NA
Lotus stipularis,abaxial_stomatal_width_um,20.1,25,2.5543886503650195,arambarri_taxonomy_2005,NA
Lotus stipularis,adaxial_stomatal_density_mm2,158.342904954,25,3.086932349511591,arambarri_taxonomy_2005,NA
Lotus stipularis,adaxial_stomatal_length_um,23.8,25,2.538626433507628,arambarri_taxonomy_2005,NA
Lotus stipularis,adaxial_stomatal_width_um,19.5,25,2.5510145455839144,arambarri_taxonomy_2005,NA
Lotus yollabolliensis,abaxial_stomatal_density_mm2,121.80223458000002,25,5.161020382635071,arambarri_taxonomy_2005,NA
Lotus yollabolliensis,abaxial_stomatal_length_um,29.8,25,2.553951817123138,arambarri_taxonomy_2005,NA
Lotus yollabolliensis,abaxial_stomatal_width_um,20.7,25,2.0420143090359892,arambarri_taxonomy_2005,NA
Lotus yollabolliensis,adaxial_stomatal_density_mm2,227.364171216,25,24.891847735197132,arambarri_taxonomy_2005,NA
Lotus yollabolliensis,adaxial_stomatal_length_um,26.2,25,3.8173320735029312,arambarri_taxonomy_2005,NA
Lotus yollabolliensis,adaxial_stomatal_width_um,22.7,25,2.0373787676237542,arambarri_taxonomy_2005,NA
Aconitum delphinifolium,abaxial_stomatal_density_mm2,132.8,10,30.2,avita_structure_1980,NA
Aconitum delphinifolium,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Aconitum delphinifolium,abaxial_stomatal_length_um,33.9,10,5.1,avita_structure_1980,NA
Aconitum delphinifolium,abaxial_stomatal_width_um,16.5,10,1.8,avita_structure_1980,NA
Aconitum delphinifolium,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Aconitum delphinifolium,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Actaea alba,abaxial_stomatal_density_mm2,36.8,10,10.7,avita_structure_1980,NA
Actaea alba,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Actaea alba,abaxial_stomatal_length_um,48.1,10,9.5,avita_structure_1980,NA
Actaea alba,abaxial_stomatal_width_um,18.5,10,1.8,avita_structure_1980,NA
Actaea alba,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Actaea alba,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Actaea rubra,abaxial_stomatal_density_mm2,43.2,10,13.1,avita_structure_1980,NA
Actaea rubra,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Actaea rubra,abaxial_stomatal_length_um,45.8,10,8.2,avita_structure_1980,NA
Actaea rubra,abaxial_stomatal_width_um,18.9,10,2.6,avita_structure_1980,NA
Actaea rubra,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Actaea rubra,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Actaea rubra var. anguira,abaxial_stomatal_density_mm2,48,10,16.8,avita_structure_1980,NA
Actaea rubra var. anguira,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Actaea rubra var. anguira,abaxial_stomatal_length_um,43.6,10,6.6,avita_structure_1980,NA
Actaea rubra var. anguira,abaxial_stomatal_width_um,15,10,2.5,avita_structure_1980,NA
Actaea rubra var. anguira,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Actaea rubra var. anguira,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Anenome altaica,abaxial_stomatal_density_mm2,43.2,10,10.7,avita_structure_1980,NA
Anenome altaica,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Anenome altaica,abaxial_stomatal_length_um,43.6,10,2.8,avita_structure_1980,NA
Anenome altaica,abaxial_stomatal_width_um,17.3,10,1,avita_structure_1980,NA
Anenome altaica,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Anenome altaica,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Anenome japonica,abaxial_stomatal_density_mm2,65.6,10,17.6,avita_structure_1980,NA
Anenome japonica,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Anenome japonica,abaxial_stomatal_length_um,45.3,10,2.3,avita_structure_1980,NA
Anenome japonica,abaxial_stomatal_width_um,16.1,10,1.3,avita_structure_1980,NA
Anenome japonica,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Anenome japonica,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Anenome mexicana,abaxial_stomatal_density_mm2,43.2,10,16.9,avita_structure_1980,NA
Anenome mexicana,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Anenome mexicana,abaxial_stomatal_length_um,39.5,10,2.5,avita_structure_1980,NA
Anenome mexicana,abaxial_stomatal_width_um,16,10,1.2,avita_structure_1980,NA
Anenome mexicana,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Anenome mexicana,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Anenome rivularis,abaxial_stomatal_density_mm2,73.6,10,20.2,avita_structure_1980,NA
Anenome rivularis,adaxial_stomatal_density_mm2,16,10,10.6,avita_structure_1980,NA
Anenome rivularis,abaxial_stomatal_length_um,43.4,10,4,avita_structure_1980,NA
Anenome rivularis,abaxial_stomatal_width_um,17.6,10,2.5,avita_structure_1980,NA
Anenome rivularis,adaxial_stomatal_length_um,36.4,10,5.5,avita_structure_1980,NA
Anenome rivularis,adaxial_stomatal_width_um,21.1,10,3.3,avita_structure_1980,NA
Anenome vitifolia,abaxial_stomatal_density_mm2,83.2,10,21,avita_structure_1980,NA
Anenome vitifolia,adaxial_stomatal_density_mm2,11.2,10,10.7,avita_structure_1980,NA
Anenome vitifolia,abaxial_stomatal_length_um,42.4,10,9.2,avita_structure_1980,NA
Anenome vitifolia,abaxial_stomatal_width_um,18.6,10,2.9,avita_structure_1980,NA
Anenome vitifolia,adaxial_stomatal_length_um,45.1,10,8.5,avita_structure_1980,NA
Anenome vitifolia,adaxial_stomatal_width_um,19,10,3.6,avita_structure_1980,NA
Aquilegia vulgaris,abaxial_stomatal_density_mm2,272.2,10,42.7,avita_structure_1980,NA
Aquilegia vulgaris,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Aquilegia vulgaris,abaxial_stomatal_length_um,23.9,10,4.4,avita_structure_1980,NA
Aquilegia vulgaris,abaxial_stomatal_width_um,9.7,10,1.4,avita_structure_1980,NA
Aquilegia vulgaris,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Aquilegia vulgaris,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Caltha leptosepala,abaxial_stomatal_density_mm2,64,10,23.8,avita_structure_1980,NA
Caltha leptosepala,adaxial_stomatal_density_mm2,46.4,10,15.9,avita_structure_1980,NA
Caltha leptosepala,abaxial_stomatal_length_um,37.4,10,4.4,avita_structure_1980,NA
Caltha leptosepala,abaxial_stomatal_width_um,15,10,3.4,avita_structure_1980,NA
Caltha leptosepala,adaxial_stomatal_length_um,33.2,10,3.8,avita_structure_1980,NA
Caltha leptosepala,adaxial_stomatal_width_um,17,10,2.1,avita_structure_1980,NA
Caltha palustris,abaxial_stomatal_density_mm2,44.8,10,16.5,avita_structure_1980,NA
Caltha palustris,adaxial_stomatal_density_mm2,32,10,13,avita_structure_1980,NA
Caltha palustris,abaxial_stomatal_length_um,63,10,10,avita_structure_1980,NA
Caltha palustris,abaxial_stomatal_width_um,26.5,10,3.3,avita_structure_1980,NA
Caltha palustris,adaxial_stomatal_length_um,54.6,10,7.3,avita_structure_1980,NA
Caltha palustris,adaxial_stomatal_width_um,25,10,3,avita_structure_1980,NA
Caltha palustris subsp. minor,abaxial_stomatal_density_mm2,81.6,10,15.9,avita_structure_1980,NA
Caltha palustris subsp. minor,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Caltha palustris subsp. minor,abaxial_stomatal_length_um,28.5,10,2.8,avita_structure_1980,NA
Caltha palustris subsp. minor,abaxial_stomatal_width_um,11.2,10,1.3,avita_structure_1980,NA
Caltha palustris subsp. minor,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Caltha palustris subsp. minor,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Caltha palustris var. stagnalis,abaxial_stomatal_density_mm2,51.2,10,14.7,avita_structure_1980,NA
Caltha palustris var. stagnalis,adaxial_stomatal_density_mm2,27.2,10,10.7,avita_structure_1980,NA
Caltha palustris var. stagnalis,abaxial_stomatal_length_um,45.3,10,2.9,avita_structure_1980,NA
Caltha palustris var. stagnalis,abaxial_stomatal_width_um,19.9,10,2.2,avita_structure_1980,NA
Caltha palustris var. stagnalis,adaxial_stomatal_length_um,45.4,10,8.3,avita_structure_1980,NA
Caltha palustris var. stagnalis,adaxial_stomatal_width_um,19.3,10,2.6,avita_structure_1980,NA
Clematis connata,abaxial_stomatal_density_mm2,67.2,10,14.7,avita_structure_1980,NA
Clematis connata,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Clematis connata,abaxial_stomatal_length_um,31.1,10,6.5,avita_structure_1980,NA
Clematis connata,abaxial_stomatal_width_um,11.3,10,1.3,avita_structure_1980,NA
Clematis connata,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Clematis connata,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Clematis florida,abaxial_stomatal_density_mm2,73.6,10,20.2,avita_structure_1980,NA
Clematis florida,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Clematis florida,abaxial_stomatal_length_um,38.2,10,3.4,avita_structure_1980,NA
Clematis florida,abaxial_stomatal_width_um,14.7,10,1.6,avita_structure_1980,NA
Clematis florida,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Clematis florida,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Clematis gouriana,abaxial_stomatal_density_mm2,105.6,10,17.1,avita_structure_1980,NA
Clematis gouriana,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Clematis gouriana,abaxial_stomatal_length_um,36.5,10,8.9,avita_structure_1980,NA
Clematis gouriana,abaxial_stomatal_width_um,14.6,10,2.5,avita_structure_1980,NA
Clematis gouriana,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Clematis gouriana,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Clematis hedysarifolia,abaxial_stomatal_density_mm2,112,10,19.9,avita_structure_1980,NA
Clematis hedysarifolia,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Clematis hedysarifolia,abaxial_stomatal_length_um,45.3,10,6.6,avita_structure_1980,NA
Clematis hedysarifolia,abaxial_stomatal_width_um,15.2,10,2.3,avita_structure_1980,NA
Clematis hedysarifolia,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Clematis hedysarifolia,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Clematis integrifolia,abaxial_stomatal_density_mm2,84.8,10,32,avita_structure_1980,NA
Clematis integrifolia,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Clematis integrifolia,abaxial_stomatal_length_um,30.5,10,5.2,avita_structure_1980,NA
Clematis integrifolia,abaxial_stomatal_width_um,13.6,10,1.1,avita_structure_1980,NA
Clematis integrifolia,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Clematis integrifolia,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Clematis paniculata,abaxial_stomatal_density_mm2,107.2,10,22.6,avita_structure_1980,NA
Clematis paniculata,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Clematis paniculata,abaxial_stomatal_length_um,42.8,10,5.7,avita_structure_1980,NA
Clematis paniculata,abaxial_stomatal_width_um,15.5,10,1.7,avita_structure_1980,NA
Clematis paniculata,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Clematis paniculata,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Clematis trifoliata,abaxial_stomatal_density_mm2,121.6,10,26.3,avita_structure_1980,NA
Clematis trifoliata,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Clematis trifoliata,abaxial_stomatal_length_um,38.4,10,4.4,avita_structure_1980,NA
Clematis trifoliata,abaxial_stomatal_width_um,14,10,9,avita_structure_1980,NA
Clematis trifoliata,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Clematis trifoliata,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Delphinium ajacis,abaxial_stomatal_density_mm2,131.2,10,21,avita_structure_1980,NA
Delphinium ajacis,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Delphinium ajacis,abaxial_stomatal_length_um,37.5,10,6,avita_structure_1980,NA
Delphinium ajacis,abaxial_stomatal_width_um,18.6,10,9,avita_structure_1980,NA
Delphinium ajacis,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Delphinium ajacis,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Delphinium belladonna,abaxial_stomatal_density_mm2,80,10,21.3,avita_structure_1980,NA
Delphinium belladonna,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Delphinium belladonna,abaxial_stomatal_length_um,47.9,10,7.9,avita_structure_1980,NA
Delphinium belladonna,abaxial_stomatal_width_um,21.7,10,3.4,avita_structure_1980,NA
Delphinium belladonna,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Delphinium belladonna,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Delphinium brunonianum,abaxial_stomatal_density_mm2,32,10,13,avita_structure_1980,NA
Delphinium brunonianum,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Delphinium brunonianum,abaxial_stomatal_length_um,62.5,10,5.4,avita_structure_1980,NA
Delphinium brunonianum,abaxial_stomatal_width_um,26.4,10,3,avita_structure_1980,NA
Delphinium brunonianum,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Delphinium brunonianum,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Delphinium californicum,abaxial_stomatal_density_mm2,32,10,10.6,avita_structure_1980,NA
Delphinium californicum,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Delphinium californicum,abaxial_stomatal_length_um,62.2,10,3.2,avita_structure_1980,NA
Delphinium californicum,abaxial_stomatal_width_um,31.9,10,10,avita_structure_1980,NA
Delphinium californicum,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Delphinium californicum,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Delphinium chinense,abaxial_stomatal_density_mm2,80,10,23.8,avita_structure_1980,NA
Delphinium chinense,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Delphinium chinense,abaxial_stomatal_length_um,48.4,10,5,avita_structure_1980,NA
Delphinium chinense,abaxial_stomatal_width_um,22.2,10,2.4,avita_structure_1980,NA
Delphinium chinense,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Delphinium chinense,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Delphinium consolida,abaxial_stomatal_density_mm2,96,10,23.8,avita_structure_1980,NA
Delphinium consolida,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Delphinium consolida,abaxial_stomatal_length_um,40.4,10,6.9,avita_structure_1980,NA
Delphinium consolida,abaxial_stomatal_width_um,17.4,10,3.4,avita_structure_1980,NA
Delphinium consolida,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Delphinium consolida,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Delphinium formosum,abaxial_stomatal_density_mm2,51.2,10,16.5,avita_structure_1980,NA
Delphinium formosum,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Delphinium formosum,abaxial_stomatal_length_um,40.8,10,4.4,avita_structure_1980,NA
Delphinium formosum,abaxial_stomatal_width_um,18,10,2.3,avita_structure_1980,NA
Delphinium formosum,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Delphinium formosum,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
Delphinium grandiflorum,abaxial_stomatal_density_mm2,49.6,10,23.1,avita_structure_1980,NA
Delphinium grandiflorum,adaxial_stomatal_density_mm2,0,10,0,avita_structure_1980,NA
Delphinium grandiflorum,abaxial_stomatal_length_um,42.1,10,6.7,avita_structure_1980,NA
Delphinium grandiflorum,abaxial_stomatal_width_um,21.9,10,2.5,avita_structure_1980,NA
Delphinium grandiflorum,adaxial_stomatal_length_um,NA,10,NA,avita_structure_1980,NA
Delphinium grandiflorum,adaxial_stomatal_width_um,NA,10,NA,avita_structure_1980,NA
