resolved_name,family,source,source_id,abaxial_stomatal_density_mm2,adaxial_stomatal_density_mm2,abaxial_stomatal_length_um,adaxial_stomatal_length_um,phy_name,grass,c,h,j,m,b,abaxial_stomatal_area_um2,adaxial_stomatal_area_um2,abaxial_gmax,adaxial_gmax,abaxial_fs,adaxial_fs,genus,subspecies,chromostome_number_2n,ploidy_level_x,c_value_reference,c_value_note,dna_amount_2c_pg
Acmella_repens,Asteraceae,rivera_meso-_2017,Acmella repens (Walter) Rich.,383.4,139.42,23.419,25.133,Acmella_repens,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,274.2247805,315.8338445,3.049256754831196,1.1899890059432616,0.10513778084369999,0.04403355460019,Acmella,NA,NA,NA,NA,NA,NA
Acorus_calamus,Acoraceae,pandey_patterns_2003,Acorus calamus,130,123,22,22,Acorus_calamus,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,242,242,0.9712691005719402,0.918969995156528,0.031459999999999995,0.029765999999999994,Acorus,NA,36,4,smarda_ecological_2014,NA,1.08
Acourtia_cordata,Asteraceae,rivera_meso-_2017,Acourtia cordata (Cerv.) B.L. Turner,174.27,104.566,25.092,31.18,Acourtia_cordata,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,314.80423199999996,486.0962,1.4850170825186062,1.1072358665528825,0.05486093351063999,0.0508291352492,Acourtia,NA,NA,NA,NA,NA,NA
Adenostyles_glabra,Asteraceae,bucher_stomatal_2017,Adenostyles glabra (Mill.) DC.,47.7,2.4,59,58.8,Adenostyles_glabra,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,1740.5,1728.7199999999998,0.9557491712376264,0.04792499841703223,0.08302185000000001,0.004148928,Adenostyles,NA,NA,NA,NA,NA,NA
Adonis_aestivalis,Ranunculaceae,zarinkamar_stomatal_2007,Adonis aestivalis,27.42,46.41,61.33,65.5,Adonis_aestivalis,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,1880.68445,2145.125,0.5711023596440818,1.032348682419271,0.051568367619,0.09955525124999999,Adonis,NA,NA,NA,NA,NA,NA
Aegilops_kotschyi,Poaceae,zarinkamar_density_2006,Aegilops kotschy,121.8,127.5,39.31,41.11,Aegilops_kotschyi,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,193.15951250000003,211.2540125,1.1478897502484398,1.256630242615109,0.023526828622500003,0.026934886593749995,Aegilops,NA,28,4,furuta_quantitative_1975,NA,24.6
Aegilops_tauschii,Poaceae,zarinkamar_density_2006,Aegilops tauschii,76.69,135.2,38.58,38.91,Aegilops_tauschii,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,186.05204999999998,189.24851249999998,0.7093340488028526,1.2612110533611507,0.014268331714499998,0.025586398889999994,Aegilops,NA,NA,NA,NA,NA,NA
Ageratina_cylindrica,Asteraceae,rivera_meso-_2017,Ageratina cylindrica (McVaugh) R.M. King & H. Rob.,592.54,139.421,19.638,18.12,Ageratina_cylindrica,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,192.82552200000003,164.1672,3.951740958057762,0.8579459454502201,0.11425683480588,0.022888355191199996,Ageratina,NA,NA,NA,NA,NA,NA
Ageratina_pichinchensis,Asteraceae,rivera_meso-_2017,Ageratina pichinchensis (Kunth) R.M. King & H. Rob.,627.396,174.276,17.8673,22.767,Ageratina_pichinchensis,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,159.620204645,259.1681445,3.8069240664131456,1.3474632533184014,0.10014507791345441,0.045166787550882,Ageratina,NA,NA,NA,NA,NA,NA
Agonis_flexuosa,Myrtaceae,huang_leaf_2019,Agonis flexuosa,164.5,105.27,20.25,23.33,Agonis_flexuosa,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,205.03125,272.14444999999995,1.1312653086163302,0.8340515641284846,0.033727640625,0.02864864625149999,Agonis,NA,NA,NA,NA,NA,NA
Agrimonia_eupatoria,Rosaceae,zarinkamar_stomatal_2007,Agrimonia eupatoria,230.76,0.188,26.819,28.5,Agrimonia_eupatoria,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,359.62938049999997,406.125,2.101728676944475,0.0018196013429595996,0.08298807584417998,7.63515e-5,Agrimonia,NA,28,NA,pustahija_small_2013,NA,2.98
Agropyron_imbricatum,Poaceae,zarinkamar_density_2006,Agropyron imbricatum,43.88,97.84,44.58,48.33,Agropyron_imbricatum,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,248.42204999999998,291.9736125,0.46898238286538657,1.1336606832873164,0.010900759554,0.028566698247,Agropyron,NA,NA,NA,NA,NA,NA
Agropyron_tsukushiense,Poaceae,kawamitsu_stomatal_1996,Agropyron tsukusiense,24.3,50.7,54,54.8,Agropyron_tsukushiense,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,364.5,375.37999999999994,0.314593597161045,0.6660983589455577,0.00885735,0.019031765999999995,Agropyron,NA,NA,NA,NA,NA,NA
Agrostis_canina,Poaceae,zarinkamar_density_2006,Agrostis canina,64.2,117,35.22,36.1,Agrostis_canina,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,155.05605,162.90125,0.5420935320737469,1.0126116265272866,0.00995459841,0.01905944625,Agrostis,NA,NA,NA,band_unpublished_1984,NA,6.8
Ajuga_comata,Lamiaceae,zarinkamar_stomatal_2007,Ajuga comata,154,47.37,26.5,26.417,Ajuga_comata,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,351.125,348.92894450000006,1.385926293508422,0.4249721013489684,0.05407325,0.016528764100965,Ajuga,NA,NA,NA,NA,NA,NA
Ajuga_orientalis,Lamiaceae,zarinkamar_stomatal_2007,Ajuga orientalis,227.6,76.88,26.45,27.917,Ajuga_orientalis,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,349.80125,389.67944450000005,2.0444263674213605,0.7288793740117719,0.07961476449999999,0.029958555693160003,Ajuga,NA,NA,NA,NA,NA,NA
Albovia_tripartita,Apiaceae,zarinkamar_stomatal_2007,Albovia tripartita,144.8,3.7,25.32,29.62,Albovia_tripartita,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,320.5512,438.67220000000003,1.2451044996903933,0.037218624408420005,0.04641581376,0.0016230871400000001,Albovia,NA,NA,NA,NA,NA,NA
